100.0,95.0,100
96.56,94.0,100
100.0,100.0,100
85.18,96.0,98.2
86.02,91.8,95.5
77.81,95.0,93
92.56,99.7,99.85
93.0,95.0,100
100.0,97.9,97
95.8,99.0,93
87.66,85.0,89.6
81.7,98.0,90.7
83.62,94.0,93
99.79,96.0,100
98.39,97.0,93.85
100.0,99.5,99.47
79.59,100.0,98.9
87.0,97.5,90
86.26,100.0,91.7
87.95,90.8,99.25
92.46,100.0,89
87.13,94.0,98.12
94.36,96.0,93
94.6,99.0,99.72
100.0,96.0,95.6
95.32,97.5,90.9
73.0,95.6,85.75
95.61,89.0,87.81
89.23,98.5,99.25
74.36,92.5,87.3
100.0,99.0,100
84.78,98.0,94.5
100.0,100.0,99.25
100.0,99.0,88.54
94.13,88.0,99.6
100.0,94.0,100
99.25,97.0,96.7
78.31,100.0,91.3
99.73,95.4,100
94.63,80.0,98.48
100.0,80.0,100
97.79,93.0,94
87.49,100.0,92.2
100.0,95.0,90.2
77.11,93.0,88.1
73.0,96.0,76.65
100.0,98.5,86.5
100.0,76.0,100
79.59,94.0,90
73.0,90.0,90.48
84.1,92.0,97.3
86.47,97.8,94
85.49,95.0,90.82
100.0,99.0,99.43
100.0,97.1,100
97.38,99.0,100
81.44,97.8,100
79.59,98.0,78.5
79.59,97.0,90
73.0,98.0,82.7
90.71,92.0,89
79.59,69.99,99.82
91.79,99.0,90.3
95.29,98.0,93.36
89.06,0.0,0
100.0,99.0,100
86.58,99.0,100
90.5,85.0,81.54
86.83,75.0,81.56
98.14,97.0,99.1
79.59,97.0,91.3
83.1,92.0,98.5
74.59,93.0,90.25
73.0,95.0,94.6
90.75,96.0,97.88
100.0,93.0,97
73.0,85.0,91.75
73.0,92.25,99.62
100.0,100.0,100
91.58,89.0,95.8
79.59,100.0,85.8
97.6,96.0,100
100.0,0.0,100
73.0,93.0,83.7
88.0,95.0,89.3
84.38,98.0,87.6
92.12,69.99,100
89.54,69.99,40
78.93,0.0,27
97.13,99.0,100
75.21,92.0,98.87
70.0,89.9,21.62
93.67,89.0,100
100.0,97.0,100
73.0,68.0,49.05
87.29,69.99,91.7
87.87,69.99,100
91.69,69.99,92
84.03,69.99,94
87.49,69.99,90.45
95.9,69.99,90
84.94,69.99,92
73.0,69.99,95.8
77.39,69.99,94
92.88,69.99,80
97.66,69.99,90.45
100.0,69.99,97
83.9,69.99,96
79.59,69.99,53.62
100.0,69.99,71.62
79.59,69.99,93
79.59,69.99,98
95.1,69.99,96
79.59,69.99,98
93.15,99.0,100
79.59,69.99,97.24
79.59,69.99,100
85.07,99.0,92
97.73,99.0,98.32
79.59,76.0,92
76.23,69.99,0
85.19,82.0,70.4
95.0,99.0,91
76.69,94.0,84.62
100.0,96.0,0
76.45,0.0,51.86
83.17,39.0,97.75
73.0,88.0,80
100.0,99.0,99
97.95,96.5,97.5
97.78,69.99,100
80.18,99.0,48.8
90.93,69.0,93.18
89.56,69.99,85.9
73.0,69.99,4.44
55.73,86.0,70.3
89.84,69.99,48.8
100.0,100.0,94.2
98.12,69.99,90
0.0,69.99,0
